VP	Soc_FE	Nonsoc_FE	Soc_NFG	Nonsoc_NFG
VP1	-2,5617	-0,032194	-0,77816	-1,0996
VP2	1,6576	-2,414	1,0428	-1,5065
VP3	3,2927	-0,11922	1,1532	-0,23576
VP4	-2,4092	-0,047686	-2,0272	-0,22325
VP5	3,9482	-1,5749	0,25891	0,048557
VP6	-2,4365	-0,97108	-1,0627	-1,5048
VP7	-1,6019	-1,1558	0,35889	-0,60131
VP8	-1,1536	0,062098	-0,94859	-1,6044
VP9	-1,4272	-0,64678	-0,49455	-0,5686
VP10	-0,2915	-1,5616	0,00055197	-0,73611
VP11	0,99404	-2,9086	0,9257	-0,24981
VP12	-0,26067	-0,47726	-0,30697	-1,1793
VP13	-0,9038	0,53535	-0,795	-0,52359
VP14	-2,4519	-1,7869	-1,3754	-1,9407
VP15	-0,23027	0,078514	-0,22035	-1,3824
VP16	-1,0503	-0,57642	-0,84074	-0,57336
VP17	1,2372	-0,69164	-0,26057	-0,40351
VP18	-2,9238	-1,3925	1,3508	1,8606
VP19	1,5816	3,1939	2,8961	1,8002
VP20	0,085535	-0,52103	-0,86193	-0,070038
VP21	-0,50445	-0,3196	-0,35735	-0,14143
VP22	-0,45172	-0,87147	-0,97264	-0,82216
VP23	1,9959	0,84629	0,48187	0,24423
VP24	-0,51369	-1,2233	-0,29949	-0,1103
VP25	-2,3233	1,7617	-0,62855	-2,0026
VP26	0,27339	-1,7589	0,18265	0,35964
VP27	0,46705	1,5267	-0,26276	0,8281
VP28	0,15974	0,48853	0,95098	0,48442
VP29	-0,4484	-0,38817	-0,52947	-0,97047
