VP	Soc_FE	Nonsoc_FE	Soc_NFG	Nonsoc_NFG
VP1	1,2726	0,96254	0,82049	0,35903
VP2	-1,0288	-2,6799	0,79268	-1,0677
VP3	-0,31583	2,425	1,3459	0,36834
VP4	5,1201	3,1264	1,6775	2,8549
VP5	9,8162	7,0594	3,8944	4,8937
VP6	-0,94128	1,9375	0,6905	0,46015
VP7	1,8607	0,37151	0,17059	0,83289
VP8	-1,6819	0,47183	-0,81034	-0,33884
VP9	2,8591	5,0907	-0,1669	1,8775
VP10	1,4741	-1,197	1,0981	-0,28189
VP11	7,5386	8,2476	3,1283	3,443
VP12	-5,9584	-0,91327	-2,1013	-0,059732
VP13	1,6283	2,0299	0,91716	2,4984
VP14	4,2997	2,8388	4,4852	2,9003
VP15	0,89396	1,6273	0,21953	0,48139
VP16	5,5366	1,6509	2,0831	1,7309
VP17	4,6011	2,0956	1,2264	1,9527
VP18	2,1642	2,8572	2,1727	2,3739
VP19	2,4515	3,2359	3,6897	1,7093
VP20	0,71775	0,75665	0,32029	1,0802
VP21	3,8979	4,6258	4,7805	2,843
VP22	3,3846	3,0541	0,79401	2,8978
VP23	-0,96403	-0,15731	0,030724	-0,05488
VP24	2,9946	2,5861	3,1712	1,9279
VP25	2,839	4,6038	3,8377	2,7289
VP26	3,6816	2,7014	0,86146	2,0531
VP27	-0,24292	2,6966	0,10664	2,4558
VP28	0,80158	2,6417	1,0465	2,4264
VP29	1,006	1,9922	-1,9655	-0,81961
