VP	Nonsoc_Invis_FE	Nonsoc_Vis_Corr
VP1	0,76421	0,7964
VP2	-2,8393	-0,42531
VP3	1,6144	1,7336
VP4	-0,6551	-0,60741
VP5	0,0024539	1,5773
VP6	-0,91754	0,053538
VP7	-0,72216	0,43362
VP8	1,9571	1,895
VP9	0,71958	1,3664
VP10	-0,070872	1,4907
VP11	-2,7987	0,10992
VP12	1,1227	1,5999
VP13	1,9155	1,3801
VP14	-0,10449	1,6825
VP15	-0,18979	-0,2683
VP16	-0,16566	0,41076
VP17	-0,30245	0,38919
VP18	-1,8696	-0,4771
VP19	2,62	-0,57388
VP20	-1,3438	-0,8228
VP21	-0,30202	0,01758
VP22	1,0917	1,9632
VP23	1,8948	1,0485
VP24	-1,389	-0,16574
VP25	0,89815	-0,86356
VP26	-1,1318	0,62715
VP27	0,81828	-0,70841
VP28	-1,3822	-1,8708
VP29	0,45018	0,83834
