VP	Nonsoc_Invis_FE	Nonsoc_Vis_Corr
VP1	2,9707	2,0082
VP2	-3,2058	-0,52583
VP3	5,3954	2,9704
VP4	-0,31517	-3,4415
VP5	3,902	-3,1574
VP6	1,4034	-0,53414
VP7	-2,071	-2,4425
VP8	3,806	3,3342
VP9	0,74343	-4,3473
VP10	-0,97585	0,2211
VP11	4,6416	-3,606
VP12	0,29074	1,204
VP13	-1,6034	-3,6333
VP14	1,1903	-1,6486
VP15	1,58	-0,047267
VP16	-1,5507	-3,2016
VP17	0,79063	-1,3049
VP18	0,64537	-2,2118
VP19	2,1717	-1,0642
VP20	0,095276	-0,66137
VP21	-1,1619	-5,7877
VP22	-0,55878	-3,6129
VP23	1,8333	1,9906
VP24	1,1715	-1,4146
VP25	4,454	-0,14985
VP26	-0,61213	-3,3135
VP27	-1,0246	-3,7212
VP28	4,0585	1,4168
VP29	0,52914	-1,4631
