VP	Nonsoc_Invis_NFG	Nonsoc_Vis_Corr
VP1	-0,30322	0,7964
VP2	-1,9318	-0,42531
VP3	1,4978	1,7336
VP4	-0,83066	-0,60741
VP5	1,6259	1,5773
VP6	-1,4513	0,053538
VP7	-0,16769	0,43362
VP8	0,29058	1,895
VP9	0,79776	1,3664
VP10	0,75458	1,4907
VP11	-0,13988	0,10992
VP12	0,42063	1,5999
VP13	0,85652	1,3801
VP14	-0,25827	1,6825
VP15	-1,6508	-0,2683
VP16	-0,1626	0,41076
VP17	-0,014313	0,38919
VP18	1,3835	-0,4771
VP19	1,2263	-0,57388
VP20	-0,89284	-0,8228
VP21	-0,12385	0,01758
VP22	1,1411	1,9632
VP23	1,2928	1,0485
VP24	-0,27604	-0,16574
VP25	-2,8662	-0,86356
VP26	0,98679	0,62715
VP27	0,11969	-0,70841
VP28	-1,3864	-1,8708
VP29	-0,13213	0,83834
