VP	Nonsoc_Invis_NFG	Nonsoc_Vis_Corr
VP1	2,3672	2,0082
VP2	-1,5936	-0,52583
VP3	3,3387	2,9704
VP4	-0,58662	-3,4415
VP5	1,7364	-3,1574
VP6	-0,073996	-0,53414
VP7	-1,6096	-2,4425
VP8	2,9954	3,3342
VP9	-2,4698	-4,3473
VP10	-0,060784	0,2211
VP11	-0,16295	-3,606
VP12	1,1443	1,204
VP13	-1,1349	-3,6333
VP14	1,2517	-1,6486
VP15	0,43412	-0,047267
VP16	-1,4706	-3,2016
VP17	0,64775	-1,3049
VP18	0,16206	-2,2118
VP19	0,64515	-1,0642
VP20	0,41882	-0,66137
VP21	-2,9447	-5,7877
VP22	-0,71516	-3,6129
VP23	1,9357	1,9906
VP24	0,51332	-1,4146
VP25	2,579	-0,14985
VP26	-1,2604	-3,3135
VP27	-1,2654	-3,7212
VP28	3,8432	1,4168
VP29	-2,2827	-1,4631
