VP	Soc_Invis_FE	Soc_Vis_Corr
VP1	-1,5657	0,99601
VP2	1,0216	-0,63601
VP3	3,6717	0,37897
VP4	-1,6133	0,7959
VP5	5,6428	1,6946
VP6	-1,6928	0,7437
VP7	-1,0763	0,52556
VP8	0,22597	1,3796
VP9	-0,75938	0,66785
VP10	1,2666	1,5581
VP11	0,72808	-0,26596
VP12	1,0256	1,2863
VP13	1,3369	2,2407
VP14	-1,4336	1,0183
VP15	-1,5177	-1,2874
VP16	-0,22551	0,82479
VP17	0,87553	-0,36171
VP18	-2,833	0,090806
VP19	0,1258	-1,4558
VP20	-0,34852	-0,43406
VP21	-0,056818	0,44763
VP22	1,3152	1,7669
VP23	3,2045	1,2087
VP24	0,072091	0,58578
VP25	-2,6193	-0,29601
VP26	0,66149	0,3881
VP27	0,035171	-0,43188
VP28	-1,4162	-1,5759
VP29	0,36922	0,81763
