VP	Soc_Invis_FE	Soc_Vis_Corr
VP1	2,6836	1,411
VP2	-1,2827	-0,25387
VP3	2,9877	3,3035
VP4	2,1052	-3,0149
VP5	7,559	-2,2572
VP6	-1,7033	-0,76199
VP7	-0,78379	-2,6445
VP8	1,6271	3,309
VP9	1,6853	-1,1738
VP10	0,86265	-0,61146
VP11	3,5732	-3,9654
VP12	-2,7267	3,2317
VP13	-0,49947	-2,1277
VP14	1,9071	-2,3926
VP15	-0,69308	-1,587
VP16	0,96218	-4,5744
VP17	3,6161	-0,98498
VP18	-0,16012	-2,3243
VP19	1,1911	-1,2604
VP20	-0,072395	-0,79015
VP21	-1,5339	-5,4317
VP22	-0,47793	-3,8625
VP23	0,3931	1,3571
VP24	1,7109	-1,2837
VP25	2,4286	-0,41032
VP26	0,10287	-3,5787
VP27	-2,6668	-2,4239
VP28	2,8618	2,0603
VP29	0,36928	-0,63675
