VP	Soc_Invis_NFG	Soc_Vis_Corr
VP1	0,21785	0,99601
VP2	0,40674	-0,63601
VP3	1,5322	0,37897
VP4	-1,2313	0,7959
VP5	1,9535	1,6946
VP6	-0,31898	0,7437
VP7	0,88446	0,52556
VP8	0,43099	1,3796
VP9	0,1733	0,66785
VP10	1,5587	1,5581
VP11	0,65974	-0,26596
VP12	0,97933	1,2863
VP13	1,4457	2,2407
VP14	-0,35707	1,0183
VP15	-1,5078	-1,2874
VP16	-0,015951	0,82479
VP17	-0,62228	-0,36171
VP18	1,4416	0,090806
VP19	1,4403	-1,4558
VP20	-1,296	-0,43406
VP21	0,090281	0,44763
VP22	0,79424	1,7669
VP23	1,6905	1,2087
VP24	0,28629	0,58578
VP25	-0,92457	-0,29601
VP26	0,57075	0,3881
VP27	-0,69464	-0,43188
VP28	-0,62492	-1,5759
VP29	0,28816	0,81763
