VP	Soc_Invis_NFG	Soc_Vis_Corr
VP1	2,2315	1,411
VP2	0,53881	-0,25387
VP3	4,6495	3,3035
VP4	-1,3374	-3,0149
VP5	1,6372	-2,2572
VP6	-0,071493	-0,76199
VP7	-2,4739	-2,6445
VP8	2,4987	3,309
VP9	-1,3407	-1,1738
VP10	0,48666	-0,61146
VP11	-0,83715	-3,9654
VP12	1,1303	3,2317
VP13	-1,2106	-2,1277
VP14	2,0926	-2,3926
VP15	-1,3675	-1,587
VP16	-2,4914	-4,5744
VP17	0,24142	-0,98498
VP18	-0,15159	-2,3243
VP19	2,4293	-1,2604
VP20	-0,46985	-0,79015
VP21	-0,6512	-5,4317
VP22	-3,0685	-3,8625
VP23	1,3879	1,3571
VP24	1,8875	-1,2837
VP25	3,4274	-0,41032
VP26	-2,7172	-3,5787
VP27	-2,3172	-2,4239
VP28	3,1068	2,0603
VP29	-2,6023	-0,63675
