VP	Soc_Error_Collapsed	Nonsoc_Error_Collapsed
VP1	-2,8427	-1,6473
VP2	-0,47794	-2,245
VP3	-0,74239	-1,7699
VP4	-3,8365	-0,30838
VP5	-2,0581	-0,10852
VP6	-1,5701	-0,44318
VP7	-0,23893	0,83596
VP8	-0,77022	-1,3473
VP9	-1,4774	-2,7707
VP10	-1,8564	-1,0388
VP11	0,47351	-1,3381
VP12	-0,28757	1,687
VP13	-0,93578	-2,631
VP14	-0,45202	-0,61081
VP15	-0,72887	0,3144
VP16	-1,2123	-4,1526
VP17	-0,063995	1,14
VP18	-1,5701	1,7019
VP19	-3,6711	-3,2139
VP20	0,39032	1,8841
VP21	-0,88451	-0,76615
VP22	-1,9451	-1,2058
VP23	-3,3918	-2,2967
VP24	-0,48969	1,4618
VP25	0,15941	0,99685
VP26	0,28539	1,5117
