VP	Soc_Error_Collapsed	Nonsoc_Error_Collapsed
VP1	1,9001	1,5468
VP2	3,9341	0,14451
VP3	-1,1146	0,97851
VP4	5,3013	6,3587
VP5	4,0736	4,5329
VP6	0,30872	1,8305
VP7	1,6781	3,1103
VP8	0,77873	-0,047301
VP9	1,2734	6,8028
VP10	2,8385	1,8563
VP11	7,2663	2,4997
VP12	-2,0499	3,3678
VP13	4,301	5,0396
VP14	-0,27129	1,1379
VP15	4,7239	3,8498
VP16	1,9742	-0,68326
VP17	4,3638	1,7818
VP18	3,6307	2,7158
VP19	6,2533	0,63502
VP20	1,7438	2,5851
VP21	0,93865	0,65229
VP22	5,2476	2,2295
VP23	1,6952	2,0136
VP24	-1,0483	4,9192
VP25	-0,94294	1,4778
VP26	1,1247	2,6191
