VP	Soc_FE	Nonsoc_FE	Soc_NFE	Nonsoc_NFE
VP1	-2,5388	0,09179	-3,4504	-3,4887
VP2	0,71598	-2,3573	1,2933	-2,1327
VP3	-3,7034	-1,8474	-5,4037	-1,6149
VP4	-2,9223	-0,94188	0,12464	0,77762
VP5	-3,2584	0,42811	-0,6833	-0,57807
VP6	-2,8412	0,46024	-0,97299	-1,4595
VP7	-0,012517	1,2749	1,7347	-2,1032
VP8	-0,82527	-0,82049	-1,5643	-1,005
VP9	-1,9818	-2,4324	-1,204	1,5108
VP10	-3,1544	-0,56762	-2,2118	-4,4618
VP11	-0,67305	-2,2833	0,7217	-2,3481
VP12	1,2213	1,8633	-1,5973	0,097136
VP13	-0,71493	-1,7156	1,0051	-4,1829
VP14	1,21	0,99779	-1,3068	-0,12789
VP15	-1,8168	0,57741	-4,7816	1,8652
VP16	-0,69885	-4,1224	0,50986	-2,806
VP17	-1,0093	2,4079	0,65398	1,6713
VP18	-1,8574	1,5749	-0,84469	-0,73089
VP19	-2,7193	-3,6728	-3,3743	-1,427
VP20	0,28272	2,1459	-2,6526	-1,2345
VP21	-2,252	-0,78965	-0,42007	1,3249
VP22	-3,4092	-0,93536	-0,65138	1,1122
