VP	Soc_FE	Nonsoc_FE	Soc_NFE	Nonsoc_NFE
VP1	1,1657	2,9826	3,3689	-0,3935
VP2	3,6104	-0,42756	-2,0592	0,71658
VP3	0,25949	0,96794	6,7057	0,99965
VP4	4,482	6,8181	3,4055	5,571
VP5	3,356	4,9644	1,2949	4,1553
VP6	-2,0139	1,5625	1,195	2,1321
VP7	-1,0771	1,8884	8,5998	-0,060893
VP8	0,45182	-0,037828	-1,8656	1,5731
VP9	1,3518	5,6675	5,0997	3,9467
VP10	2,106	2,2515	-1,294	4,9284
VP11	6,0541	3,243	3,4696	0,71569
VP12	-2,2678	2,7889	1,5169	3,0317
VP13	3,6432	5,0952	2,2613	-3,9243
VP14	0,69459	1,5288	3,6016	-0,21366
VP15	5,6646	4,8402	6,5472	3,5369
VP16	2,5839	2,5578	1,526	-0,72891
VP17	5,1342	3,7774	-0,14465	3,0773
VP18	3,6624	2,0773	5,2605	0,27463
VP19	6,0014	2,1694	0,68524	2,4544
VP20	1,9398	1,9792	-0,097678	2,4288
VP21	1,9016	0,90407	0,73043	7,024
VP22	2,7051	1,9547	-0,5495	0,75369
