VP	Nonsoc_FE	Nonsoc_Corr
VP1	0,88819	0,7964
VP2	-2,7826	-0,42531
VP3	-0,11383	1,7336
VP4	-1,5493	-0,60741
VP5	2,0055	1,5773
VP6	0,51378	0,053538
VP7	1,7085	0,43362
VP8	1,0745	1,895
VP9	-1,0661	1,3664
VP10	0,92307	1,4907
VP11	-0,68338	0,10992
VP12	3,2434	1,5999
VP13	-0,033187	1,3801
VP14	0,72949	1,6825
VP15	0,98817	-0,2683
VP16	-4,5995	0,41076
VP17	1,834	0,38919
VP18	0,75207	-0,4771
VP19	-1,7096	-0,57388
VP20	3,1945	-0,8228
VP21	-0,95539	0,01758
VP22	-1,7989	1,9632
VP23	-2,7942	1,0485
VP24	0,85604	-0,16574
VP25	-1,0003	-0,86356
VP26	4,2126	0,62715
