VP	Nonsoc_FE	Nonsoc_Corr
VP1	4,9908	2,0082
VP2	-0,95339	-0,52583
VP3	3,9383	2,9704
VP4	3,3766	-3,4415
VP5	1,8071	-3,1574
VP6	1,0283	-0,53414
VP7	-0,55407	-2,4425
VP8	3,2964	3,3342
VP9	1,3202	-4,3473
VP10	2,4726	0,2211
VP11	4,447	-3,606
VP12	-0,8444	1,204
VP13	3,4466	-3,6333
VP14	1,4815	-1,6486
VP15	1,6386	-0,047267
VP16	0,34595	-3,2016
VP17	2,7132	-1,3049
VP18	1,4159	-2,2118
VP19	-1,4435	-1,0642
VP20	3,9698	-0,66137
VP21	-0,51049	-5,7877
VP22	1,8049	-3,6129
VP23	-1,7396	1,9906
VP24	-0,38059	-1,4146
VP25	3,6876	-0,14985
VP26	3,4335	-3,3135
