VP	Nonsoc_Error_Collapsed	Nonsoc_Corr
VP1	-0,85091	0,7964
VP2	-2,6703	-0,42531
VP3	-0,036319	1,7336
VP4	-0,91579	-0,60741
VP5	1,4688	1,5773
VP6	-0,38964	0,053538
VP7	1,2696	0,43362
VP8	0,54767	1,895
VP9	-1,4043	1,3664
VP10	0,45186	1,4907
VP11	0,2619	0,10992
VP12	3,0672	1,5999
VP13	-0,94857	1,3801
VP14	-0,87911	1,6825
VP15	0,72516	-0,2683
VP16	-4,6297	0,41076
VP17	0,5661	0,38919
VP18	0,87908	-0,4771
VP19	-1,2507	-0,57388
VP20	2,9326	-0,8228
VP21	-0,93189	0,01758
VP22	-2,0693	1,9632
VP23	-1,6696	1,0485
VP24	0,75338	-0,16574
VP25	-0,87393	-0,86356
VP26	2,35	0,62715
