VP	Nonsoc_Error_Collapsed	Nonsoc_Corr
VP1	3,555	2,0082
VP2	-0,38132	-0,52583
VP3	3,9489	2,9704
VP4	2,9171	-3,4415
VP5	1,3755	-3,1574
VP6	1,2964	-0,53414
VP7	0,66783	-2,4425
VP8	3,2869	3,3342
VP9	2,4555	-4,3473
VP10	2,0774	0,2211
VP11	3,7037	-3,606
VP12	-0,26547	1,204
VP13	3,391	-3,6333
VP14	1,0906	-1,6486
VP15	0,64825	-0,047267
VP16	-2,8951	-3,2016
VP17	0,7177	-1,3049
VP18	2,0545	-2,2118
VP19	-2,9779	-1,0642
VP20	4,5756	-0,66137
VP21	-0,76227	-5,7877
VP22	2,0797	-3,6129
VP23	-1,3	1,9906
VP24	1,198	-1,4146
VP25	2,8945	-0,14985
VP26	1,156	-3,3135
