VP	Soc_FE	Soc_Corr
VP1	-1,5428	0,99601
VP2	0,079968	-0,63601
VP3	-3,3244	0,37897
VP4	-2,1264	0,7959
VP5	-1,5638	1,6946
VP6	-2,0975	0,7437
VP7	0,51305	0,52556
VP8	0,55432	1,3796
VP9	-1,314	0,66785
VP10	-1,5963	1,5581
VP11	-0,93901	-0,26596
VP12	2,5076	1,2863
VP13	1,5258	2,2407
VP14	-0,077459	1,0183
VP15	-2,1785	-1,2874
VP16	-0,60804	0,82479
VP17	-2,465	-0,36171
VP18	-2,2914	0,090806
VP19	-0,9524	-1,4558
VP20	1,4914	-0,43406
VP21	-1,6663	0,44763
VP22	-3,0211	1,7669
VP23	1,0087	1,2087
VP24	-0,6235	0,58578
VP25	2,7211	-0,29601
