VP	Soc_FE	Soc_Corr
VP1	2,5768	1,411
VP2	3,3565	-0,25387
VP3	3,563	3,3035
VP4	1,4671	-3,0149
VP5	1,0988	-2,2572
VP6	-2,7759	-0,76199
VP7	-3,7215	-2,6445
VP8	3,7608	3,309
VP9	0,178	-1,1738
VP10	1,4945	-0,61146
VP11	2,0887	-3,9654
VP12	0,96388	3,2317
VP13	1,5155	-2,1277
VP14	-0,89245	-2,3926
VP15	4,6797	-1,587
VP16	0,25957	-4,5744
VP17	3,8738	-0,98498
VP18	2,8723	-2,3243
VP19	2,1389	-1,2604
VP20	3,2969	-0,79015
VP21	0,61787	-5,4317
VP22	-0,87355	-3,8625
VP23	-2,7715	1,3571
VP24	-1,1726	-1,2837
VP25	3,3798	-0,41032
