VP	Soc_Error_Collapsed	Soc_Corr
VP1	-1,8467	0,99601
VP2	-1,114	-0,63601
VP3	-0,36341	0,37897
VP4	-3,0406	0,7959
VP5	-0,36354	1,6946
VP6	-0,82643	0,7437
VP7	0,28664	0,52556
VP8	0,60936	1,3796
VP9	-0,80955	0,66785
VP10	-0,29829	1,5581
VP11	0,20754	-0,26596
VP12	0,99873	1,2863
VP13	1,3049	2,2407
VP14	-1,7394	1,0183
VP15	-1,0906	-1,2874
VP16	-1,1215	0,82479
VP17	-1,5198	-0,36171
VP18	-2,0042	0,090806
VP19	-1,9042	-1,4558
VP20	1,599	-0,43406
VP21	-0,29873	0,44763
VP22	-2,2411	1,7669
VP23	-3,0037	1,2087
VP24	-0,92157	0,58578
VP25	-1,4165	-0,29601
VP26	1,103	0,3881
