VP	Soc_Error_Collapsed	Soc_Corr
VP1	3,3112	1,411
VP2	3,6802	-0,25387
VP3	2,189	3,3035
VP4	2,2864	-3,0149
VP5	1,8164	-2,2572
VP6	-0,45328	-0,76199
VP7	-0,96636	-2,6445
VP8	4,0877	3,309
VP9	0,099605	-1,1738
VP10	2,2271	-0,61146
VP11	3,3009	-3,9654
VP12	1,1817	3,2317
VP13	2,1733	-2,1277
VP14	-1,8583	-2,3926
VP15	3,7389	-1,587
VP16	-0,35011	-4,5744
VP17	3,1034	-0,98498
VP18	2,8405	-2,3243
VP19	2,3908	-1,2604
VP20	3,1009	-0,79015
VP21	-0,34507	-5,4317
VP22	4,8373	-3,8625
VP23	-1,8835	1,3571
VP24	-3,4721	-1,2837
VP25	1,1173	-0,41032
VP26	0,48798	-3,5787
